,Eads pred (eV),Elements
564,-3.3266847133636475,Ru_Rh
565,-3.576026439666748,Ru_Rh
566,-3.231210470199585,Ru_Rh
567,-3.2304189205169678,Ru_Rh
568,-3.711864709854126,Ru_Rh
569,-2.7824199199676514,Ru_Rh
570,-3.5616800785064697,Ru_Rh
571,-3.499232292175293,Ru_Rh
572,-3.2171010971069336,Ru_Rh
573,-3.5323939323425293,Ru_Rh
574,-3.2291860580444336,Ru_Rh
575,-4.0779547691345215,Ru_Rh
576,-3.6165735721588135,Ru_Rh
577,-3.8504741191864014,Ru_Rh
578,-3.157850980758667,Ru_Rh
579,-3.4425973892211914,Ru_Rh
580,-3.110647439956665,Ru_Rh
581,-4.185490608215332,Ru_Rh
582,-3.529775619506836,Ru_Rh
583,-4.141246318817139,Ru_Rh
584,-3.2503485679626465,Ru_Rh
585,-3.7355282306671143,Ru_Rh
586,-3.5669732093811035,Ru_Rh
587,-2.733203411102295,Ru_Rh
588,-2.628274440765381,Ru_Rh
589,-3.291041612625122,Ru_Rh
590,-2.7285451889038086,Ru_Rh
591,-3.9221694469451904,Ru_Rh
592,-3.781449556350708,Ru_Rh
593,-3.3675198554992676,Ru_Rh
594,-4.196580410003662,Ru_Rh
595,-4.659248352050781,Ru_Rh
596,-4.364080429077148,Ru_Rh
597,-2.717439651489258,Ru_Rh
598,-2.475374937057495,Ru_Rh
599,-3.311063766479492,Ru_Rh
600,-3.2231132984161377,Ru_Rh
601,-2.607583999633789,Ru_Rh
602,-4.353805065155029,Ru_Rh
603,-3.2274672985076904,Ru_Rh
604,-4.0351104736328125,Ru_Rh
605,-2.8973324298858643,Ru_Rh
606,-3.544034004211426,Ru_Rh
607,-2.6637370586395264,Ru_Rh
608,-3.4468936920166016,Ru_Rh
609,-3.5393452644348145,Ru_Rh
610,-3.593341588973999,Ru_Rh
611,-3.633556842803955,Ru_Rh
612,-4.338013172149658,Ru_Rh
613,-3.0324137210845947,Ru_Rh
614,-2.479039192199707,Ru_Rh
615,-3.725456953048706,Ru_Rh
616,-3.2727110385894775,Ru_Rh
617,-3.333617687225342,Ru_Rh
618,-3.125520706176758,Ru_Rh
619,-3.305656909942627,Ru_Rh
620,-3.6801815032958984,Ru_Rh
621,-3.3393394947052,Ru_Rh
622,-2.6769986152648926,Ru_Rh
623,-2.2108640670776367,Ru_Rh
624,-3.214735984802246,Ru_Rh
625,-3.1063170433044434,Ru_Rh
626,-3.222054958343506,Ru_Rh
627,-2.759784460067749,Ru_Rh
628,-3.868966817855835,Ru_Rh
629,-3.0470457077026367,Ru_Rh
630,-3.122671365737915,Ru_Rh
631,-4.1307783126831055,Ru_Rh
632,-4.200615406036377,Ru_Rh
633,-2.456758499145508,Ru_Rh
634,-4.196356773376465,Ru_Rh
635,-3.3065602779388428,Ru_Rh
636,-3.4197685718536377,Ru_Rh
637,-3.1944446563720703,Ru_Rh
638,-4.432159900665283,Ru_Rh
639,-3.7104578018188477,Ru_Rh
640,-4.277275085449219,Ru_Rh
641,-4.329808235168457,Ru_Rh
642,-3.217921257019043,Ru_Rh
643,-2.345241069793701,Ru_Rh
644,-3.582077741622925,Ru_Rh
645,-3.6694374084472656,Ru_Rh
646,-3.450410842895508,Ru_Rh
647,-3.8777737617492676,Ru_Rh
648,-3.689117431640625,Ru_Rh
649,-3.240891933441162,Ru_Rh
650,-2.22650146484375,Ru_Rh
651,-4.018466472625732,Ru_Rh
652,-3.334923505783081,Ru_Rh
653,-4.215249061584473,Ru_Rh
654,-3.808870553970337,Ru_Rh
655,-3.8921756744384766,Ru_Rh
656,-2.3715691566467285,Ru_Rh
657,-4.2322611808776855,Ru_Rh
658,-3.6806061267852783,Ru_Rh
659,-2.5050253868103027,Ru_Rh
660,-4.057388782501221,Ru_Rh
661,-3.1609835624694824,Ru_Rh
662,-2.314096689224243,Ru_Rh
663,-3.941312313079834,Ru_Rh
664,-4.289527893066406,Ru_Rh
665,-3.497870683670044,Ru_Rh
666,-3.6262571811676025,Ru_Rh
667,-3.970461845397949,Ru_Rh
668,-3.456369161605835,Ru_Rh
669,-3.1939001083374023,Ru_Rh
670,-3.235952138900757,Ru_Rh
671,-4.169008255004883,Ru_Rh
672,-3.368913173675537,Ru_Rh
673,-4.18512487411499,Ru_Rh
674,-3.732121467590332,Ru_Rh
675,-4.387568473815918,Ru_Rh
676,-3.2602591514587402,Ru_Rh
677,-4.1761250495910645,Ru_Rh
678,-4.31461238861084,Ru_Rh
679,-3.522751808166504,Ru_Rh
680,-3.9000775814056396,Ru_Rh
